h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2,2,"[3, 199, 2]",995,12,12,True,False,,,,,,,,,
2,2,"[3, 75, 2]",375,12,12,True,False,,,,,,,,,
2,2,"[3, 69, 2]",345,12,12,True,False,,,,,,,,,
2,2,"[3, 33, 2]",165,12,12,True,False,,,,,,,,,
2,2,"[3, 12, 2]",60,12,12,True,False,,,,,,,,,
2,2,"[3, 4, 2]",20,12,12,True,False,,,,,,,,,
2,2,"[3, 3, 2]",15,12,12,True,True,,,,,,,,,
3,2,"[3, 25, 122, 2]",3369,30,30,True,False,,,,,,,,,
3,2,"[3, 21, 106, 2]",2501,30,30,True,False,,,,,,,,,
3,2,"[3, 237, 65, 2]",16246,30,30,True,False,,,,,,,,,
3,2,"[3, 104, 57, 2]",6354,30,30,True,False,,,,,,,,,
3,2,"[3, 33, 47, 2]",1744,30,30,True,False,,,,,,,,,
3,2,"[3, 142, 41, 2]",6330,30,30,True,False,,,,,,,,,
3,2,"[3, 18, 196, 2]",3974,30,30,True,False,,,,,,,,,
3,2,"[3, 190, 2, 2]",954,14,30,False,False,,,,,,,,,
3,2,"[3, 29, 60, 2]",1947,30,30,True,False,,,,,,,,,
3,2,"[3, 16, 85, 2]",1578,30,30,True,False,,,,,,,,,
3,2,"[3, 11, 236, 2]",3101,30,30,True,False,,,,,,,,,
3,2,"[3, 2, 242, 2]",974,10,30,False,False,,,,,,,,,
3,2,"[3, 226, 15, 2]",4098,30,30,True,False,,,,,,,,,
3,2,"[3, 19, 29, 2]",666,30,30,True,False,,,,,,,,,
3,2,"[3, 102, 23, 2]",2698,30,30,True,False,,,,,,,,,
3,2,"[3, 152, 4, 2]",1072,28,30,False,False,,,,,,,,,
3,2,"[3, 64, 15, 2]",1182,30,30,True,False,,,,,,,,,
3,2,"[3, 10, 7, 2]",114,30,30,True,False,,,,,,,,,
3,2,"[3, 4, 113, 2]",690,28,30,False,False,,,,,,,,,
3,2,"[3, 272, 1, 2]",1090,7,30,False,False,,,,,,,,,
3,2,"[3, 35, 5, 2]",290,30,30,True,False,,,,,,,,,
3,2,"[3, 6, 288, 2]",2322,30,30,True,False,,,,,,,,,
3,2,"[3, 5, 225, 2]",1590,30,30,True,False,,,,,,,,,
3,2,"[3, 7, 19, 2]",192,30,30,True,False,,,,,,,,,
3,2,"[3, 5, 24, 2]",183,30,30,True,False,,,,,,,,,
3,2,"[3, 226, 3, 2]",1362,21,30,False,False,,,,,,,,,
3,2,"[3, 3, 278, 2]",1399,18,30,False,False,,,,,,,,,
3,2,"[3, 194, 4, 2]",1366,28,30,False,False,,,,,,,,,
3,2,"[3, 4, 165, 2]",1002,28,30,False,False,,,,,,,,,
3,2,"[3, 293, 1, 2]",1174,7,30,False,False,,,,,,,,,
3,2,"[3, 18, 5, 2]",154,30,30,True,False,,,,,,,,,
3,2,"[3, 4, 185, 2]",1122,28,30,False,False,,,,,,,,,
3,2,"[3, 217, 4, 2]",1527,28,30,False,False,,,,,,,,,
3,2,"[3, 268, 2, 2]",1344,14,30,False,False,,,,,,,,,
3,2,"[3, 13, 6, 2]",129,30,30,True,False,,,,,,,,,
3,2,"[3, 4, 269, 2]",1626,28,30,False,False,,,,,,,,,
3,2,"[3, 240, 3, 2]",1446,21,30,False,False,,,,,,,,,
3,2,"[3, 2, 288, 2]",1158,10,30,False,False,,,,,,,,,
3,2,"[3, 262, 4, 2]",1842,28,30,False,False,,,,,,,,,
3,2,"[3, 298, 4, 2]",2094,28,30,False,False,,,,,,,,,
3,2,"[3, 8, 5, 2]",74,30,30,True,False,,,,,,,,,
3,2,"[3, 1, 297, 2]",894,4,30,False,False,,,,,,,,,
3,2,"[3, 4, 280, 2]",1692,28,30,False,False,,,,,,,,,
3,2,"[3, 2, 299, 2]",1202,10,30,False,False,,,,,,,,,
3,2,"[3, 5, 12, 2]",99,30,30,True,False,,,,,,,,,
3,2,"[3, 3, 286, 2]",1439,18,30,False,False,,,,,,,,,
3,2,"[3, 4, 283, 2]",1710,28,30,False,False,,,,,,,,,
3,2,"[3, 4, 299, 2]",1806,28,30,False,False,,,,,,,,,
3,2,"[3, 7, 7, 2]",84,30,30,True,False,,,,,,,,,
3,2,"[3, 6, 9, 2]",90,30,30,True,False,,,,,,,,,
3,2,"[3, 300, 4, 2]",2108,28,30,False,False,,,,,,,,,
3,2,"[3, 5, 6, 2]",57,30,30,True,False,,,,,,,,,
3,2,"[3, 1, 300, 2]",903,4,30,False,False,,,,,,,,,
3,2,"[3, 5, 5, 2]",50,30,30,True,True,,,,,,,,,
