h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,4,"[2, 4, 2]",16,10,10,True,True,10,,,,,,,,,True,0
2,4,"[2, 137, 2]",548,10,10,True,False,10,,,,,,,,,True,0
2,4,"[2, 51, 2]",204,10,10,True,False,10,,,,,,,,,True,0
2,4,"[2, 45, 2]",180,10,10,True,False,10,,,,,,,,,True,0
2,4,"[2, 5, 2]",20,10,10,True,False,10,,,,,,,,,True,0
2,4,"[2, 3, 2]",12,9,10,False,False,9,,,,,,,,,True,0
3,4,"[2, 4, 6, 2]",44,34,34,True,True,34,,,,,,,,,True,0
3,4,"[2, 108, 110, 2]",12316,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 272, 68, 2]",19176,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 198, 31, 2]",6596,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 95, 175, 2]",17165,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 56, 51, 2]",3070,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 248, 4, 2]",1496,24,34,False,False,34,,,,,,,,,True,10
3,4,"[2, 185, 45, 2]",8785,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 118, 47, 2]",5876,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 21, 223, 2]",5171,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 25, 99, 2]",2723,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 289, 20, 2]",6398,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 249, 11, 2]",3259,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 18, 228, 2]",4596,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 8, 112, 2]",1136,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 40, 73, 2]",3146,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 6, 148, 2]",1196,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 248, 18, 2]",4996,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 150, 36, 2]",5772,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 284, 4, 2]",1712,24,34,False,False,34,,,,,,,,,True,10
3,4,"[2, 158, 17, 2]",3036,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 15, 74, 2]",1288,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 31, 25, 2]",887,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 107, 19, 2]",2285,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 15, 56, 2]",982,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 180, 7, 2]",1634,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 10, 96, 2]",1172,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 25, 15, 2]",455,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 294, 4, 2]",1772,24,34,False,False,34,,,,,,,,,True,10
3,4,"[2, 6, 137, 2]",1108,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 5, 7, 2]",59,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 3, 216, 2]",1086,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 287, 5, 2]",2019,30,34,False,False,34,,,,,,,,,True,4
3,4,"[2, 4, 71, 2]",434,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 16, 6, 2]",140,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 293, 5, 2]",2061,30,34,False,False,34,,,,,,,,,True,4
3,4,"[2, 300, 2, 2]",1204,12,34,False,False,34,,,,,,,,,True,22
3,4,"[2, 2, 298, 2]",1196,12,34,False,False,34,,,,,,,,,True,22
3,4,"[2, 4, 52, 2]",320,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 3, 226, 2]",1136,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 300, 5, 2]",2110,30,34,False,False,34,,,,,,,,,True,4
3,4,"[2, 4, 33, 2]",206,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 4, 31, 2]",194,34,34,True,False,34,,,,,,,,,True,0
3,4,"[2, 3, 257, 2]",1291,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 270, 2]",1356,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 282, 2]",1416,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 290, 2]",1456,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 294, 2]",1476,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 298, 2]",1496,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 299, 2]",1501,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 300, 2]",1506,31,34,False,False,34,,,,,,,,,True,3
3,4,"[2, 3, 6, 2]",36,27,34,False,False,27,0.0,7.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2019030999999813,maximal_subarchitecture_of_recorded_mfa,"[[2, 4, 6, 2]]",[1],True,0
