h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
7.0,2.0,"[2, 3, 4, 5, 4, 6, 4, 1]",110.0,65.0,65.0,True,True,65,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 5, 7, 6, 7, 4, 1]",181.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 6, 7, 6, 7, 3, 1]",183.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 7, 6, 7, 3, 1]",181.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 4, 7, 6, 8, 4, 1]",181.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 5, 7, 6, 8, 3, 1]",182.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 4, 7, 6, 8, 3, 1]",179.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 6, 5, 8, 6, 3, 1]",181.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 4, 7, 9, 3, 1]",179.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 4, 7, 6, 7, 6, 1]",187.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 4, 7, 6, 7, 5, 1]",186.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 7, 5, 7, 5, 1]",183.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 6, 7, 5, 7, 4, 1]",186.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 5, 7, 5, 8, 5, 1]",185.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 4, 7, 8, 5, 1]",187.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 4, 8, 8, 4, 1]",190.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 6, 5, 8, 5, 1]",183.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 7, 5, 8, 4, 1]",184.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 8, 5, 7, 4, 1]",185.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 5, 4, 6, 9, 5, 1]",186.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 4, 7, 5, 9, 6, 1]",195.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 5, 6, 5, 9, 6, 1]",195.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 6, 6, 5, 7, 7, 1]",199.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 3, 6, 6, 5, 8, 8, 1]",211.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
8.0,2.0,"[2, 3, 4, 4, 7, 5, 8, 8, 1]",209.0,129.0,129.0,True,True,129,,,,,,,,False,,0.0,2,1,2
10.0,2.0,"[2, 3, 9, 56, 22, 12, 15, 9, 5, 3, 1]",2411.0,513.0,513.0,True,True,513,,,,,,,,False,,0.0,2,1,2
10.0,2.0,"[2, 4, 10, 52, 15, 14, 15, 9, 4, 3, 1]",1954.0,513.0,513.0,True,True,513,,,,,,,,False,,0.0,2,1,2
